gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
SELENBP1,-1.245595689,6.299745087,1.79E-12,1.66E-11,Down
ADAMTS18,3.183144413,0.724590377,1.85E-12,1.71E-11,Up
MFHAS1,1.021624399,6.340931719,1.88E-12,1.74E-11,Up
RAI2,-1.39917964,4.499320609,1.90E-12,1.76E-11,Down
THBS2,2.497613701,6.572202422,1.90E-12,1.76E-11,Up
MAPK4,-2.435421952,2.402654787,1.90E-12,1.76E-11,Down
CHRDL1,-2.28139331,4.198280424,1.94E-12,1.79E-11,Down
KCNN3,-1.463966074,4.082561265,1.96E-12,1.81E-11,Down
MZT1,1.094743635,4.906270064,1.96E-12,1.82E-11,Up
ACTC1,-1.967524611,2.581236007,1.97E-12,1.82E-11,Down
OIP5,1.288747598,0.879723945,1.97E-12,1.82E-11,Up
MAPT,-1.917596766,2.621630168,2.03E-12,1.87E-11,Down
CPB1,-2.699722184,0.391097876,2.05E-12,1.89E-11,Down
COL19A1,-2.096271498,0.935176283,2.06E-12,1.89E-11,Down
CHP2,-2.77008275,3.761433945,2.06E-12,1.90E-11,Down
VILL,-1.48212004,6.238761241,2.16E-12,1.99E-11,Down
SNTA1,-1.2385941,4.224980146,2.18E-12,2.00E-11,Down
GEM,-1.335173931,5.74070114,2.23E-12,2.05E-11,Down
CHSY3,1.360750956,1.817303496,2.24E-12,2.05E-11,Up
DIAPH3,1.357674826,3.95045603,2.27E-12,2.08E-11,Up
GLIPR2,-1.121511117,4.40552646,2.36E-12,2.16E-11,Down
SLC35F1,-1.709039451,1.02381916,2.45E-12,2.24E-11,Down
C2orf15,1.1196689,1.051131527,2.47E-12,2.26E-11,Up
SPRR1A,-3.764540856,5.506056028,2.49E-12,2.27E-11,Down
PDILT,-3.181246901,-0.273370292,2.53E-12,2.31E-11,Down
HAPLN3,1.684293076,4.197289719,2.57E-12,2.34E-11,Up
MRGBP,1.033129182,4.631850075,2.57E-12,2.34E-11,Up
RBPMS,-1.23613957,6.617459435,2.61E-12,2.37E-11,Down
