gene_id,log2FoldChange,log2CPM,PValue,FDR,up_down
DNAH17,1.074525621,1.555392599,5.21E-09,2.94E-08,Up
CDKL2,-1.443872942,0.940724647,5.22E-09,2.95E-08,Down
SLC37A2,-1.121043377,3.927858897,5.28E-09,2.98E-08,Down
HSPB1,-1.195318943,9.580117519,5.29E-09,2.98E-08,Down
CLDN9,3.017456222,1.242778921,5.34E-09,3.01E-08,Up
LCN12,2.326715519,1.372711337,5.47E-09,3.08E-08,Up
TMEM211,-1.920106631,-1.181609955,5.48E-09,3.08E-08,Down
PACRG,-1.430156864,-0.250037931,5.64E-09,3.17E-08,Down
CHDH,1.165231285,5.506441304,5.76E-09,3.23E-08,Up
HSD17B6,-1.072212377,1.241700219,5.76E-09,3.23E-08,Down
SYNDIG1L,-1.531289034,-2.5787253,5.81E-09,3.26E-08,Down
MPP2,-1.268604662,2.399523452,5.83E-09,3.27E-08,Down
BTNL8,-1.762109975,4.264418106,5.85E-09,3.28E-08,Down
MEIS2,-1.005879347,4.558341921,5.98E-09,3.35E-08,Down
LEPREL1,-1.338402531,4.413003567,6.00E-09,3.36E-08,Down
SPTSSB,-1.765416675,4.176767347,6.15E-09,3.44E-08,Down
COL27A1,1.344713672,5.725583045,6.18E-09,3.45E-08,Up
NLGN1,-1.697652525,1.17861183,6.24E-09,3.48E-08,Down
CDH3,1.897271481,5.740323543,6.27E-09,3.50E-08,Up
PKIA,-1.306080799,2.438979538,6.41E-09,3.57E-08,Down
IGFBP3,1.291037891,7.930356359,6.53E-09,3.63E-08,Up
HOXD12,4.058602003,-2.416262657,6.55E-09,3.64E-08,Up
PRSS33,3.67539027,1.613615029,6.67E-09,3.70E-08,Up
GCM1,2.963752396,-1.79943157,6.72E-09,3.73E-08,Up
KRT6A,-3.087000819,8.399840184,6.77E-09,3.76E-08,Down
LHX2,1.996953959,-1.043022757,6.82E-09,3.78E-08,Up
C15orf52,-1.301958244,4.307807053,7.01E-09,3.89E-08,Down
MYRFL,-1.758329625,1.430270392,7.10E-09,3.93E-08,Down
PTGER3,-1.394412228,3.405597551,7.11E-09,3.93E-08,Down
PTK7,1.479572742,6.384490202,7.11E-09,3.93E-08,Up
NKD2,2.515083032,3.439733662,7.22E-09,3.99E-08,Up
MCAM,-1.042057447,7.391822545,7.48E-09,4.13E-08,Down
SLC22A11,3.999608589,-0.076035817,7.69E-09,4.24E-08,Up
MNX1,1.358222411,3.239980621,7.79E-09,4.29E-08,Up
SCARA3,-1.273864858,4.866458617,8.07E-09,4.44E-08,Down
FAM150A,2.137498892,0.842293382,8.48E-09,4.65E-08,Up
CRISPLD2,-1.051585076,6.636628256,8.74E-09,4.79E-08,Down
HSPE1,1.017795936,5.702699987,9.04E-09,4.94E-08,Up
CH507-42P11.8,-1.114465177,3.856082172,9.09E-09,4.96E-08,Down
CALHM3,3.883392207,-0.354805005,9.18E-09,5.01E-08,Up
GPIHBP1,-1.376181148,0.348512928,9.33E-09,5.09E-08,Down
CPLX1,1.629695453,3.506516839,9.34E-09,5.10E-08,Up
SKIDA1,-1.172369827,-0.008529583,9.39E-09,5.12E-08,Down
IL1A,-1.766609213,1.654676017,9.41E-09,5.13E-08,Down
C2,1.433280288,4.651493378,9.46E-09,5.15E-08,Up
EPB41L4A,-1.019618311,2.50784257,9.63E-09,5.24E-08,Down
FANCG,1.213093121,-0.077394417,1.00E-08,5.46E-08,Up
C12orf75,1.347229999,6.691133634,1.01E-08,5.46E-08,Up
CLDN2,3.072112651,6.644069418,1.02E-08,5.52E-08,Up
CA2,-1.697900205,7.86063569,1.02E-08,5.53E-08,Down
FAR2,1.231855973,4.642024747,1.02E-08,5.54E-08,Up
KCNMB2,-1.555095774,-2.298014812,1.03E-08,5.57E-08,Down
TLR2,1.15840725,3.732330039,1.03E-08,5.58E-08,Up
SHOX2,2.157050534,0.532296023,1.03E-08,5.59E-08,Up
PRR5L,1.213541915,3.760656618,1.04E-08,5.61E-08,Up
SLC26A8,1.410694097,-0.012394133,1.04E-08,5.64E-08,Up
COL5A1,1.368003972,8.639913628,1.06E-08,5.71E-08,Up
CDKN2B,-1.145926537,4.814884044,1.06E-08,5.72E-08,Down
CORO2B,-1.296865058,1.729789282,1.07E-08,5.79E-08,Down
AGTR1,-1.985136007,1.699403551,1.08E-08,5.80E-08,Down
MUC15,-2.872143102,1.385196794,1.08E-08,5.84E-08,Down
SCN2B,-1.661143705,-0.034462357,1.09E-08,5.86E-08,Down
ASCL2,2.647822946,5.320485638,1.09E-08,5.86E-08,Up
CLDN14,1.869292271,-0.613505449,1.12E-08,6.01E-08,Up
ARMC3,2.58360907,0.011841072,1.12E-08,6.02E-08,Up
SUSD4,-1.693065314,3.236634629,1.13E-08,6.08E-08,Down
PLA2G12B,-2.343285659,1.098136099,1.14E-08,6.11E-08,Down
SSC5D,-1.410279016,5.24817435,1.15E-08,6.15E-08,Down
SLC26A3,-2.345574242,4.104834491,1.17E-08,6.25E-08,Down
ANKRD65,-1.321024309,2.604483817,1.17E-08,6.27E-08,Down
PLIN1,-2.002290369,1.974910712,1.17E-08,6.28E-08,Down
LPHN3,-1.282167843,2.90002881,1.17E-08,6.29E-08,Down
AKAP12,-1.386920593,6.305791106,1.18E-08,6.33E-08,Down
ZMYND15,1.13075738,2.871758667,1.20E-08,6.41E-08,Up
C2CD4D,1.282194449,1.787120232,1.20E-08,6.43E-08,Up
TMEM74B,1.881280881,1.118276046,1.20E-08,6.43E-08,Up
SIX3,3.802886497,0.627346,1.22E-08,6.49E-08,Up
ATP2B3,-1.909567986,-2.026031738,1.22E-08,6.53E-08,Down
ZIC2,3.452627412,2.958248602,1.23E-08,6.56E-08,Up
LYG1,1.384513766,-0.159284727,1.23E-08,6.57E-08,Up
CALML4,1.350952274,-1.34534054,1.24E-08,6.60E-08,Up
AC092881.1,1.56733147,-1.138328967,1.24E-08,6.60E-08,Up
IFNL2,3.818977467,-3.046703134,1.24E-08,6.62E-08,Up
TEX19,4.729825737,-1.424475617,1.25E-08,6.67E-08,Up
FAM196B,1.664212081,-0.224107544,1.27E-08,6.75E-08,Up
PCSK9,2.174726588,4.952128679,1.28E-08,6.82E-08,Up
TMPRSS11F,-3.203597665,-0.418247567,1.30E-08,6.93E-08,Down
FAM181B,-1.687546093,-0.619464378,1.31E-08,6.93E-08,Down
ENTPD3,-1.603388351,2.584474793,1.33E-08,7.04E-08,Down
C20orf195,1.689930668,0.336060127,1.33E-08,7.08E-08,Up
PIWIL4,1.179727744,3.417486273,1.34E-08,7.08E-08,Up
EN2,4.07954503,1.03744564,1.36E-08,7.22E-08,Up
PTPRS,-1.211688785,5.547967318,1.36E-08,7.22E-08,Down
LINGO1,1.61187582,3.356718291,1.39E-08,7.37E-08,Up
MPDZ,-1.177126127,4.344511416,1.40E-08,7.39E-08,Down
MUCL1,5.539673941,0.720631325,1.40E-08,7.39E-08,Up
CHRNB4,-1.402148888,0.290300197,1.41E-08,7.43E-08,Down
AP000866.2,1.013008498,0.730993055,1.41E-08,7.47E-08,Up
EGR3,-1.228128632,3.991850952,1.44E-08,7.62E-08,Down
TMEM59L,-1.59381918,0.556600883,1.45E-08,7.64E-08,Down
C9orf50,1.622589194,-0.345494258,1.46E-08,7.68E-08,Up
ANGPTL5,-1.833110708,-2.351627104,1.46E-08,7.68E-08,Down
ADAM8,1.350069276,5.242158469,1.46E-08,7.70E-08,Up
PRKCB,-1.333790904,4.936533658,1.47E-08,7.74E-08,Down
SIX4,1.528795204,2.80588634,1.49E-08,7.84E-08,Up
UGT1A3,-2.128942572,-3.50879409,1.54E-08,8.12E-08,Down
C1orf116,-1.118440248,7.049066848,1.55E-08,8.13E-08,Down
GADD45G,-1.109942504,2.905826662,1.56E-08,8.19E-08,Down
SAGE1,6.396591254,0.432460994,1.57E-08,8.24E-08,Up
KCNC3,1.452179627,2.923889716,1.59E-08,8.35E-08,Up
LTB4R,-1.017862922,3.002190746,1.59E-08,8.36E-08,Down
SLC28A3,2.073655997,3.537248234,1.61E-08,8.43E-08,Up
PRSS21,3.411012144,3.580717611,1.62E-08,8.46E-08,Up
WDR66,1.483239151,1.852714546,1.64E-08,8.58E-08,Up
COL12A1,1.440966425,8.269646585,1.64E-08,8.58E-08,Up
SPATA17,1.452167178,0.483689433,1.66E-08,8.67E-08,Up
LACTB2,1.172926017,5.149849755,1.69E-08,8.85E-08,Up
SMLR1,-2.270674287,0.424887995,1.71E-08,8.94E-08,Down
MAGEA4,9.906140316,4.076733604,1.75E-08,9.12E-08,Up
FAM186A,1.561935179,-0.514633694,1.75E-08,9.12E-08,Up
ANO5,-1.455680018,3.028751643,1.76E-08,9.15E-08,Down
SYT10,-2.044805213,-2.105496685,1.76E-08,9.18E-08,Down
TNFSF4,1.340254752,2.287960662,1.77E-08,9.19E-08,Up
TSPEAR,2.267065233,0.509869328,1.78E-08,9.28E-08,Up
SDCBP2,-1.162007568,5.971862636,1.79E-08,9.29E-08,Down
PDE3A,-1.295075271,4.998986535,1.85E-08,9.60E-08,Down
TMEM132C,-1.932774426,0.53960637,1.85E-08,9.61E-08,Down
PPP1R14D,-1.588012585,3.423759717,1.86E-08,9.66E-08,Down
LRRC46,1.075909545,0.384824395,1.87E-08,9.69E-08,Up
SLC8A1,-1.072291976,4.318432544,1.88E-08,9.72E-08,Down
CYP4F12,-1.361398081,4.096034608,1.95E-08,1.01E-07,Down
STOML3,3.356683498,-2.004557126,1.95E-08,1.01E-07,Up
SRCIN1,1.855531763,3.99262085,1.98E-08,1.02E-07,Up
GPR56,1.097062596,7.697657953,2.03E-08,1.05E-07,Up
KCNH2,-1.550268229,4.831979986,2.06E-08,1.06E-07,Down
C6orf15,7.080579779,1.636439315,2.08E-08,1.07E-07,Up
TBX15,1.816965067,0.349217189,2.09E-08,1.08E-07,Up
GNGT1,4.197427919,0.332054244,2.10E-08,1.08E-07,Up
FP325317.1,-1.894367848,-3.296673831,2.11E-08,1.09E-07,Down
APOE,1.768392479,8.047980041,2.13E-08,1.10E-07,Up
RND2,-1.467851002,1.172341811,2.16E-08,1.11E-07,Down
GLIPR1L2,-1.059437351,-0.774102051,2.17E-08,1.12E-07,Down
PGA4,-4.150742207,2.313164901,2.19E-08,1.12E-07,Down
TBC1D30,1.161556798,2.484155059,2.20E-08,1.13E-07,Up
CLPSL2,3.896915679,-2.584962986,2.22E-08,1.14E-07,Up
FOXJ1,3.115971268,3.614542389,2.23E-08,1.14E-07,Up
CDH11,1.28800282,6.361766296,2.23E-08,1.14E-07,Up
KAL1,1.507492867,3.661117674,2.25E-08,1.15E-07,Up
LILRB4,1.514187792,4.303907433,2.27E-08,1.16E-07,Up
LCN1,5.529397537,-1.242688989,2.28E-08,1.17E-07,Up
CCDC110,-1.220416789,0.371455735,2.31E-08,1.18E-07,Down
FGL1,5.90457897,2.827566555,2.33E-08,1.19E-07,Up
C20orf166,-2.20181333,-3.407254598,2.40E-08,1.23E-07,Down
ADAMTS7,1.074212832,3.995062714,2.40E-08,1.23E-07,Up
TNFRSF9,1.396362858,2.477576625,2.41E-08,1.23E-07,Up
ANXA8,-2.438460717,2.346058013,2.42E-08,1.23E-07,Down
SOX10,-1.889625439,2.153351691,2.43E-08,1.24E-07,Down
TMPRSS11A,-3.272350573,2.99167214,2.48E-08,1.26E-07,Down
SLC25A32,1.16799091,-1.642414168,2.48E-08,1.26E-07,Up
ALDH3B2,-2.042414378,3.769884894,2.50E-08,1.27E-07,Down
SMTNL1,1.528630496,-0.345800804,2.50E-08,1.27E-07,Up
PODNL1,1.459031024,2.960207251,2.52E-08,1.28E-07,Up
DNASE1L2,1.362059458,-0.682267284,2.54E-08,1.29E-07,Up
CHRM4,-1.524276062,-0.381807873,2.58E-08,1.31E-07,Down
BST1,-1.097837098,2.640730033,2.58E-08,1.31E-07,Down
PMFBP1,1.784459501,1.158421922,2.59E-08,1.31E-07,Up
TTLL2,2.167916429,-0.357924856,2.59E-08,1.31E-07,Up
NOTUM,5.212514383,7.00124731,2.60E-08,1.32E-07,Up
IRG1,2.815159243,-2.562647517,2.61E-08,1.32E-07,Up
MDFI,1.323476593,4.752431576,2.62E-08,1.33E-07,Up
ABLIM3,-1.121891798,4.463932709,2.72E-08,1.38E-07,Down
FAM3D,-1.670510255,5.367950456,2.73E-08,1.38E-07,Down
IL18BP,1.177438319,4.746609614,2.73E-08,1.38E-07,Up
SYNGR4,3.230416484,0.465210047,2.78E-08,1.40E-07,Up
SPDYE5,1.102282345,0.821548995,2.79E-08,1.41E-07,Up
DCAF4L1,1.61181972,-1.079948842,2.79E-08,1.41E-07,Up
DNAH14,1.751030145,2.467527712,2.83E-08,1.43E-07,Up
MND1,1.448787233,-2.646404135,2.87E-08,1.45E-07,Up
FAM149A,-1.103847235,3.330235936,2.88E-08,1.45E-07,Down
FAM9C,5.363671648,-0.027267195,2.91E-08,1.47E-07,Up
SYNC,-1.493841053,2.650781798,2.98E-08,1.50E-07,Down
CYP2W1,3.528640515,5.291680578,3.08E-08,1.55E-07,Up
GBP5,2.086933546,5.265554026,3.08E-08,1.55E-07,Up
FZD2,1.303181957,3.645888279,3.10E-08,1.55E-07,Up
RASGEF1A,1.771730116,2.992214714,3.11E-08,1.56E-07,Up
KRT20,-2.322712574,7.126678692,3.12E-08,1.56E-07,Down
GPR22,-1.353963178,-2.30113744,3.12E-08,1.56E-07,Down
LEF1,1.180028425,4.167732734,3.14E-08,1.57E-07,Up
CLDN15,-1.507643791,5.481842981,3.26E-08,1.63E-07,Down
MAT1A,3.4038849,1.335586959,3.31E-08,1.66E-07,Up
HSD3B7,1.071963535,4.70463502,3.39E-08,1.69E-07,Up
DRAXIN,1.678453099,0.158548017,3.43E-08,1.71E-07,Up
C5orf58,2.09354605,-0.402239505,3.44E-08,1.72E-07,Up
SLCO1B1,4.036271331,-1.763499039,3.45E-08,1.72E-07,Up
ERMN,1.639064703,0.215691797,3.45E-08,1.72E-07,Up
CXCL6,2.791309651,3.13155215,3.46E-08,1.72E-07,Up
AVPR1A,-1.152351972,2.674777952,3.47E-08,1.73E-07,Down
ITGB7,-1.126397696,2.635199336,3.54E-08,1.76E-07,Down
SFRP5,-1.960638438,2.431836425,3.57E-08,1.78E-07,Down
CCL21,-1.625243601,5.658043289,3.57E-08,1.78E-07,Down
LAYN,-1.128240186,3.165270301,3.61E-08,1.80E-07,Down
DNAH3,1.452314829,1.587896904,3.64E-08,1.81E-07,Up
OSMR,1.128172633,6.552248604,3.67E-08,1.83E-07,Up
FGFBP1,-2.158513142,3.867162671,3.72E-08,1.85E-07,Down
RERGL,-1.657414416,0.633993624,3.73E-08,1.85E-07,Down
NRCAM,2.137515485,4.048227357,3.74E-08,1.86E-07,Up
ADAD2,-1.898425555,-2.230645269,3.80E-08,1.88E-07,Down
IFNL3,4.014747105,-3.187994055,3.80E-08,1.88E-07,Up
SPAG16,-1.06134476,3.279116629,3.84E-08,1.90E-07,Down
STEAP1,1.271796233,4.70977269,3.84E-08,1.90E-07,Up
ADTRP,-1.613981307,4.106697985,3.85E-08,1.90E-07,Down
DRICH1,1.646794258,-1.642887274,3.92E-08,1.94E-07,Up
LRRIQ4,1.854596785,-0.230179591,3.97E-08,1.96E-07,Up
OBP2B,6.40974879,0.392863084,3.97E-08,1.96E-07,Up
NRG4,-1.543527287,1.137253042,3.98E-08,1.97E-07,Down
CHST15,-1.066949119,5.630288657,4.11E-08,2.03E-07,Down
FIBCD1,3.429998219,3.147059414,4.16E-08,2.05E-07,Up
DUSP9,3.732678481,1.08298131,4.16E-08,2.05E-07,Up
SAA2,3.601721204,3.066067172,4.21E-08,2.07E-07,Up
SGCE,-1.07560388,4.337166352,4.24E-08,2.09E-07,Down
DPF1,1.490846902,0.550308466,4.30E-08,2.11E-07,Up
WBSCR27,1.690695653,2.555771943,4.32E-08,2.12E-07,Up
PTGES3L,-1.179728205,0.63001627,4.37E-08,2.15E-07,Down
MSX2,1.686384578,4.084637727,4.38E-08,2.15E-07,Up
PTPRU,1.535400946,5.735061371,4.44E-08,2.18E-07,Up
C6orf25,-1.080811943,-0.539117536,4.51E-08,2.21E-07,Down
UCN,1.170737489,-0.630820893,4.55E-08,2.23E-07,Up
SLC8A2,-1.886841375,1.937829862,4.58E-08,2.24E-07,Down
ESCO2,1.161056402,4.1177112,4.62E-08,2.26E-07,Up
SLCO1B3,4.413331003,0.078960002,4.63E-08,2.27E-07,Up
ASB4,4.951627451,2.567370191,4.65E-08,2.28E-07,Up
SEZ6L2,1.31263681,6.710416297,4.71E-08,2.30E-07,Up
F2,3.823718124,0.745548883,4.71E-08,2.30E-07,Up
FLNC,-1.860055179,8.357239302,4.86E-08,2.37E-07,Down
TNFRSF25,1.240246198,3.683546633,4.92E-08,2.40E-07,Up
ZNF454,-1.09653091,-0.328531478,5.11E-08,2.49E-07,Down
INMT,-1.302517775,3.265035202,5.24E-08,2.55E-07,Down
TSHZ3,-1.075884285,4.026735036,5.29E-08,2.57E-07,Down
LRRC15,2.104652081,4.099534688,5.36E-08,2.60E-07,Up
AQP2,4.997653925,2.430588259,5.41E-08,2.62E-07,Up
NUGGC,-1.357775831,1.660886106,5.56E-08,2.70E-07,Down
ZNF385B,-1.566285747,1.752549558,5.57E-08,2.70E-07,Down
TUBB4A,-1.643318562,0.917443554,5.60E-08,2.71E-07,Down
SLIT2,-1.43988332,4.279961673,5.65E-08,2.73E-07,Down
PLEKHD1,2.136352669,-0.072022069,5.75E-08,2.78E-07,Up
C2orf50,1.469145688,0.230710328,5.84E-08,2.82E-07,Up
MYH7,-1.65403405,-1.94189744,5.85E-08,2.82E-07,Down
CNGA1,-1.234396037,1.731196674,6.01E-08,2.90E-07,Down
METTL11B,2.81580289,-2.332523809,6.04E-08,2.91E-07,Up
MESP2,2.16177469,0.132335002,6.08E-08,2.93E-07,Up
AKAP4,4.05489417,-2.51960821,6.11E-08,2.94E-07,Up
MAGEC1,8.940868819,1.775032302,6.13E-08,2.95E-07,Up
CNTN3,-1.639508073,-0.140554953,6.15E-08,2.96E-07,Down
GPR20,-1.134634941,0.261736762,6.18E-08,2.97E-07,Down
IL16,-1.111606273,4.058169429,6.30E-08,3.03E-07,Down
IMPG1,1.26028959,-0.76585805,6.31E-08,3.03E-07,Up
SNAP91,-1.794289178,-0.051262903,6.34E-08,3.04E-07,Down
NHS,1.171026531,4.756859261,6.44E-08,3.09E-07,Up
TMEM132A,1.113858148,5.436493974,6.49E-08,3.11E-07,Up
LILRB5,-1.125106105,2.443326716,6.49E-08,3.11E-07,Down
VCX,5.754529816,-0.767605153,6.54E-08,3.13E-07,Up
HIST2H2BF,1.266709576,1.236483983,6.60E-08,3.16E-07,Up
KCNS1,2.214733576,0.427830512,6.66E-08,3.19E-07,Up
STK32C,1.088550339,3.487681591,6.77E-08,3.23E-07,Up
MAGEA1,7.919563151,1.764268511,6.80E-08,3.25E-07,Up
CES3,-1.441130681,4.4199029,6.85E-08,3.27E-07,Down
TOX,-1.278087778,4.162623747,6.96E-08,3.32E-07,Down
DNAH5,1.787140761,2.178989633,6.99E-08,3.33E-07,Up
CYS1,-1.479970073,3.147401202,7.09E-08,3.38E-07,Down
FBXO27,-1.316149252,1.861728394,7.25E-08,3.45E-07,Down
MYLK2,1.233895041,-1.47591475,7.29E-08,3.47E-07,Up
GRB7,2.311592555,7.072883539,7.32E-08,3.48E-07,Up
POU5F1B,2.160236523,-0.058297934,7.36E-08,3.50E-07,Up
GPD1,-1.558646292,4.61507437,7.46E-08,3.54E-07,Down
FAM124A,-1.179615052,3.182137428,7.52E-08,3.56E-07,Down
IL4I1,1.416372737,3.59235494,7.62E-08,3.61E-07,Up
C17orf96,1.420763635,3.528166332,7.71E-08,3.65E-07,Up
GPR182,-1.059308821,-1.861720795,7.81E-08,3.70E-07,Down
REEP6,-1.367634274,5.567601212,7.81E-08,3.70E-07,Down
FAM19A5,1.51678162,2.896742929,7.82E-08,3.70E-07,Up
LCTL,1.325072324,-1.473750576,7.85E-08,3.72E-07,Up
MIOX,2.775044107,0.190741383,7.87E-08,3.72E-07,Up
ZNF525,1.170103478,3.335761859,7.97E-08,3.77E-07,Up
GOLGA8N,-1.013669542,-0.617745015,8.00E-08,3.78E-07,Down
ALB,7.113953249,7.035718172,8.15E-08,3.85E-07,Up
DLX6,3.342017759,0.872676805,8.19E-08,3.87E-07,Up
SLC17A7,-1.355394846,0.561310251,8.30E-08,3.92E-07,Down
WBSCR28,2.305611836,-1.772120734,8.52E-08,4.02E-07,Up
SMC1B,2.118024148,0.478738573,8.58E-08,4.04E-07,Up
RTN4RL2,1.67614102,2.332012377,8.74E-08,4.12E-07,Up
GFY,4.412286514,-0.889792028,8.84E-08,4.16E-07,Up
PAH,4.127785985,1.52957568,8.90E-08,4.19E-07,Up
LHX1,4.149548994,-0.436525228,8.94E-08,4.21E-07,Up
HS3ST2,1.915491156,1.67508604,8.97E-08,4.22E-07,Up
DRGX,3.481043624,0.075530847,9.07E-08,4.26E-07,Up
MLK4,1.00427565,4.973916536,9.26E-08,4.34E-07,Up
FRMPD4,-1.667256595,-2.753548493,9.40E-08,4.41E-07,Down
ZDHHC15,-1.233508545,0.620052489,9.44E-08,4.42E-07,Down
CYP2C19,-1.484228189,1.208250853,9.76E-08,4.56E-07,Down
TMPRSS5,2.229590738,1.074178797,1.00E-07,4.67E-07,Up
FOXRED2,1.125491999,5.980217475,1.00E-07,4.67E-07,Up
PAX2,3.765324405,-0.928017864,1.00E-07,4.69E-07,Up
HOXA2,-1.168445202,1.491144779,1.01E-07,4.73E-07,Down
ZNF677,-1.072192151,2.046684806,1.02E-07,4.73E-07,Down
ALK,-1.471608119,-1.107764312,1.02E-07,4.74E-07,Down
RGS4,-1.321484497,3.309661763,1.05E-07,4.87E-07,Down
RP11-295K3.1,1.425420431,-1.227403789,1.05E-07,4.88E-07,Up
SLC45A2,2.824056087,-1.646761763,1.05E-07,4.88E-07,Up
NR2F1,-1.084677634,4.894032477,1.08E-07,5.03E-07,Down
NMRK2,-1.972944846,-2.258706091,1.09E-07,5.07E-07,Down
MFSD2A,-1.050202668,3.927477196,1.13E-07,5.24E-07,Down
GPR52,-1.323418336,-2.877043162,1.13E-07,5.25E-07,Down
LRRC36,1.700046436,0.308268686,1.14E-07,5.28E-07,Up
SSC4D,1.499548069,0.687612637,1.15E-07,5.31E-07,Up
WASF1,-1.058808198,3.512594088,1.15E-07,5.33E-07,Down
CASQ1,-1.683294315,-0.297406608,1.16E-07,5.39E-07,Down
FBLN1,-1.310876396,7.874288334,1.18E-07,5.43E-07,Down
MMP12,2.425331276,5.919298221,1.18E-07,5.44E-07,Up
ZNF716,4.480789552,-1.185931093,1.18E-07,5.46E-07,Up
AGT,2.153571523,6.025290475,1.20E-07,5.52E-07,Up
TPSD1,-1.76891602,1.724271167,1.20E-07,5.54E-07,Down
KCNQ4,-1.209220997,2.55702407,1.21E-07,5.55E-07,Down
NPY,-2.099711383,-0.057753431,1.22E-07,5.64E-07,Down
GPR158,2.196683945,2.237429602,1.26E-07,5.80E-07,Up
PTGFR,-1.296879047,2.148956915,1.27E-07,5.85E-07,Down
GRIA1,-1.576322828,-0.805109485,1.30E-07,5.98E-07,Down
DCAF12L2,-1.682110533,-1.436141955,1.31E-07,6.02E-07,Down
NPAS3,-1.264790385,0.855853902,1.32E-07,6.06E-07,Down
CPNE6,-1.740352618,0.385772524,1.34E-07,6.14E-07,Down
SSTR1,-1.458300057,4.561776098,1.36E-07,6.22E-07,Down
GCNT2,-1.000486385,3.543347842,1.37E-07,6.25E-07,Down
TAS2R4,1.164151385,-0.278751102,1.37E-07,6.26E-07,Up
CYP27A1,-1.068820838,5.164672661,1.38E-07,6.30E-07,Down
PABPC5,-1.11235603,-0.012123669,1.39E-07,6.37E-07,Down
CLDN12,1.044448914,6.306181468,1.41E-07,6.47E-07,Up
CCKAR,-2.35298615,0.578539539,1.42E-07,6.51E-07,Down
MAGEA8,4.498359341,-0.360609492,1.43E-07,6.51E-07,Up
CFAP61,1.552595778,-1.122721255,1.43E-07,6.52E-07,Up
SYPL2,-1.272246172,1.253683627,1.43E-07,6.53E-07,Down
PDE9A,-1.187377256,3.104541319,1.43E-07,6.54E-07,Down
CLUL1,-1.374524963,-1.518102761,1.45E-07,6.60E-07,Down
COL5A3,1.125352331,4.958212893,1.45E-07,6.63E-07,Up
KLK11,-1.838936359,5.10712543,1.46E-07,6.65E-07,Down
WBSCR17,-1.198132081,1.72059529,1.46E-07,6.65E-07,Down
ADH1C,-1.794077815,6.28228644,1.47E-07,6.68E-07,Down
CACNA1E,2.576662394,2.208161119,1.47E-07,6.69E-07,Up
PRSS56,6.195342442,0.367835251,1.47E-07,6.70E-07,Up
ANKRD33,3.776402714,-1.429826311,1.47E-07,6.70E-07,Up
LRRC66,-1.419003742,3.106612056,1.47E-07,6.70E-07,Down
PCDH11Y,-1.992901332,-2.522765157,1.47E-07,6.70E-07,Down
IGFL3,3.400380109,-2.641122681,1.51E-07,6.85E-07,Up
UPK3A,3.641285535,1.810220856,1.52E-07,6.88E-07,Up
SLC35E4,1.021081168,3.382743555,1.52E-07,6.92E-07,Up
CD177,3.772027557,4.756708587,1.55E-07,7.02E-07,Up
HNF1B,1.522901971,5.225779651,1.55E-07,7.03E-07,Up
EPS8L1,-1.153909642,5.938295795,1.56E-07,7.07E-07,Down
CLDN16,1.805424862,0.148325714,1.57E-07,7.10E-07,Up
RASGRP2,-1.220951198,3.199436582,1.57E-07,7.11E-07,Down
RORB,-1.259071749,0.604139664,1.58E-07,7.13E-07,Down
MACC1,1.247901176,6.358476312,1.61E-07,7.29E-07,Up
MAGEA10,7.062932846,1.19496421,1.61E-07,7.30E-07,Up
DES,-2.123992959,10.16918467,1.61E-07,7.30E-07,Down
MAGEA2B,4.803636812,-3.29831958,1.62E-07,7.31E-07,Up
CPN1,4.963327517,-0.769702559,1.64E-07,7.40E-07,Up
MCEMP1,1.974533074,-0.128762976,1.65E-07,7.43E-07,Up
TMEM71,-1.020644455,1.337755445,1.67E-07,7.53E-07,Down
LY9,-1.306565338,2.489864107,1.69E-07,7.62E-07,Down
POU2AF1,-1.452155342,5.166065739,1.69E-07,7.62E-07,Down
GFRA3,-1.670528402,2.289971068,1.73E-07,7.80E-07,Down
NPC1L1,-1.767706513,4.965311484,1.78E-07,8.01E-07,Down
GINS2,1.159551122,4.093952423,1.82E-07,8.19E-07,Up
HHIPL2,2.222282049,-1.37666614,1.83E-07,8.23E-07,Up
COL8A1,1.63775066,6.28919638,1.84E-07,8.24E-07,Up
C3orf70,-1.298022855,4.226263541,1.84E-07,8.24E-07,Down
SLC16A8,1.266092691,0.310874217,1.84E-07,8.26E-07,Up
NTRK3,-1.413190635,0.985730808,1.84E-07,8.27E-07,Down
ITGA2,1.127125747,6.685187364,1.85E-07,8.31E-07,Up
ELAVL4,-1.460142354,0.335121289,1.86E-07,8.32E-07,Down
SIX2,-1.72977094,3.800517749,1.90E-07,8.49E-07,Down
HIF3A,-1.660178612,4.493895161,1.91E-07,8.52E-07,Down
KREMEN2,1.783322035,1.040820566,1.95E-07,8.70E-07,Up
MAP1A,-1.123947308,5.325522723,1.96E-07,8.74E-07,Down
MFSD2B,1.027035208,-0.490994043,1.96E-07,8.75E-07,Up
NXPH4,2.470236085,2.75821395,1.97E-07,8.81E-07,Up
BATF2,1.455644508,4.672243424,1.99E-07,8.90E-07,Up
RCN3,1.117568338,5.378273162,2.05E-07,9.15E-07,Up
FGF3,6.384552642,1.195318374,2.15E-07,9.56E-07,Up
DLL3,3.303003163,0.687196642,2.19E-07,9.71E-07,Up
KCNMB3,1.24850293,0.88017745,2.19E-07,9.74E-07,Up
CHST13,2.429522475,2.46106302,2.21E-07,9.82E-07,Up
